SeasonID,TeamID,TeamName,OppPointsPG,HOME,PlayoffRank
1989,1610612764,Bullets,109.9,20-21,10
1989,1610612748,Heat,110.3,11-30,11
1989,1610612746,Clippers,107.2,20-21,11
1989,1610612753,Magic,119.8,12-29,11
1989,1610612758,Kings,106.8,16-25,12
1989,1610612750,Timberwolves,99.4,17-24,13
1989,1610612751,Nets,108.0,13-28,13
1989,1610612766,Hornets,108.2,13-28,14
1990,1610612757,Trail Blazers,106.0,36-5,1
1990,1610612741,Bulls,101.0,35-6,1
1990,1610612738,Celtics,105.7,35-6,2
1990,1610612759,Spurs,102.6,33-8,2
1990,1610612747,Lakers,99.6,33-8,3
1990,1610612765,Pistons,96.8,32-9,3
1990,1610612756,Suns,107.5,32-9,4
1990,1610612749,Bucks,104.0,33-8,4
1990,1610612755,76ers,105.6,29-12,5
1990,1610612762,Jazz,100.7,36-5,5
1990,1610612745,Rockets,103.2,31-10,6
1990,1610612737,Hawks,109.0,29-12,6
1990,1610612744,Warriors,115.0,30-11,7
1990,1610612754,Pacers,112.1,29-12,7
1990,1610612760,SuperSonics,105.4,28-13,8
1990,1610612752,Knicks,103.3,21-20,8
1990,1610612746,Clippers,107.0,23-18,9
1990,1610612739,Cavaliers,104.2,23-18,9
1990,1610612753,Magic,109.9,24-17,9
1990,1610612764,Bullets,106.4,21-20,10
1990,1610612750,Timberwolves,103.5,21-20,11
1990,1610612766,Hornets,108.0,17-24,11
1990,1610612751,Nets,107.5,20-21,11
1990,1610612742,Mavericks,104.5,20-21,12
1990,1610612748,Heat,107.8,18-23,13
1990,1610612758,Kings,103.5,24-17,13
1990,1610612743,Nuggets,130.8,17-24,14
1991,1610612741,Bulls,99.5,36-5,1
1991,1610612757,Trail Blazers,104.1,33-8,1
1991,1610612738,Celtics,103.0,34-7,2
1991,1610612744,Warriors,114.8,31-10,2
1991,1610612752,Knicks,97.7,30-11,2
1991,1610612762,Jazz,101.9,37-4,2
1991,1610612739,Cavaliers,103.4,35-6,4
1991,1610612756,Suns,106.2,36-5,4
1991,1610612759,Spurs,100.6,31-10,5
1991,1610612760,SuperSonics,104.7,28-13,5
1991,1610612765,Pistons,96.9,25-16,5
1991,1610612751,Nets,107.1,25-16,6
1991,1610612754,Pacers,110.3,26-15,6
1991,1610612746,Clippers,101.9,29-12,7
1991,1610612737,Hawks,107.7,23-18,8
1991,1610612747,Lakers,101.5,24-17,8
1991,1610612748,Heat,109.2,28-13,8
1991,1610612745,Rockets,103.7,28-13,9
1991,1610612755,76ers,103.2,23-18,10
1991,1610612758,Kings,110.3,21-20,10
1991,1610612743,Nuggets,107.6,18-23,11
1991,1610612749,Bucks,106.7,25-16,11
1991,1610612766,Hornets,113.4,22-19,11
1991,1610612742,Mavericks,105.3,15-26,12
1991,1610612750,Timberwolves,107.5,9-32,13
1991,1610612764,Bullets,106.8,14-27,13
1991,1610612753,Magic,108.5,13-28,14
1992,1610612752,Knicks,95.4,37-4,1
1992,1610612756,Suns,106.7,35-6,1
1992,1610612741,Bulls,98.9,31-10,2
1992,1610612745,Rockets,99.8,31-10,2
1992,1610612760,SuperSonics,101.3,33-8,2
1992,1610612739,Cavaliers,101.3,35-6,3
1992,1610612738,Celtics,102.8,28-13,4
1992,1610612757,Trail Blazers,105.4,30-11,4
1992,1610612759,Spurs,102.8,31-10,5
1992,1610612766,Hornets,110.4,22-19,5
1992,1610612737,Hawks,108.4,25-16,6
1992,1610612751,Nets,101.6,26-15,6
1992,1610612762,Jazz,104.0,28-13,6
1992,1610612746,Clippers,106.8,27-14,7
1992,1610612747,Lakers,105.5,20-21,8
1992,1610612753,Magic,104.2,27-14,8
1992,1610612754,Pacers,106.1,27-14,8
1992,1610612743,Nuggets,106.9,28-13,9
1992,1610612744,Warriors,110.9,19-22,10
1992,1610612765,Pistons,102.0,28-13,10
1992,1610612748,Heat,104.7,26-15,11
1992,1610612758,Kings,111.1,16-25,11
1992,1610612749,Bucks,106.1,18-23,12
1992,1610612750,Timberwolves,105.9,11-30,12
1992,1610612742,Mavericks,114.5,7-34,13
1992,1610612755,76ers,110.1,15-26,13
1992,1610612764,Bullets,108.9,15-26,14
1993,1610612737,Hawks,96.2,36-5,1
1993,1610612752,Knicks,91.5,32-9,1
1993,1610612760,SuperSonics,96.9,37-4,1
1993,1610612745,Rockets,96.8,35-6,2
1993,1610612741,Bulls,94.9,31-10,3
1993,1610612756,Suns,103.4,36-5,3
1993,1610612753,Magic,101.8,31-10,4
1993,1610612759,Spurs,94.8,32-9,4
1993,1610612739,Cavaliers,97.1,31-10,5
1993,1610612754,Pacers,97.5,29-12,5
1993,1610612762,Jazz,97.7,33-8,5
1993,1610612744,Warriors,106.1,29-12,6
1993,1610612751,Nets,101.0,29-12,7
1993,1610612757,Trail Blazers,104.6,30-11,7
1993,1610612743,Nuggets,98.8,28-13,8
1993,1610612748,Heat,100.7,22-19,8
1993,1610612747,Lakers,104.7,21-20,9
1993,1610612766,Hornets,106.7,28-13,9
1993,1610612738,Celtics,105.1,18-23,10
1993,1610612758,Kings,106.9,20-21,10
1993,1610612746,Clippers,108.7,17-24,11
1993,1610612755,76ers,105.6,15-26,11
1993,1610612750,Timberwolves,103.6,13-28,12
1993,1610612764,Bullets,107.7,17-24,12
1993,1610612742,Mavericks,103.8,6-35,13
1993,1610612749,Bucks,103.4,11-30,13
1993,1610612765,Pistons,104.7,10-31,13
1994,1610612753,Magic,103.8,39-2,1
1994,1610612759,Spurs,100.6,33-8,1
1994,1610612754,Pacers,95.5,33-8,2
1994,1610612756,Suns,106.8,32-9,2
1994,1610612752,Knicks,95.1,29-12,3
1994,1610612762,Jazz,98.4,33-8,3
1994,1610612760,SuperSonics,102.2,32-9,4
1994,1610612766,Hornets,97.3,29-12,4
1994,1610612741,Bulls,96.7,28-13,5
1994,1610612747,Lakers,105.3,29-12,5
1994,1610612739,Cavaliers,89.8,26-15,6
1994,1610612745,Rockets,101.4,25-16,6
1994,1610612737,Hawks,95.3,24-17,7
1994,1610612757,Trail Blazers,99.2,26-15,7
1994,1610612738,Celtics,104.7,20-21,8
1994,1610612743,Nuggets,100.5,23-18,8
1994,1610612749,Bucks,103.7,22-19,9
1994,1610612758,Kings,99.2,27-14,9
1994,1610612742,Mavericks,106.1,19-22,10
1994,1610612748,Heat,102.8,22-19,10
1994,1610612744,Warriors,111.1,15-26,11
1994,1610612751,Nets,101.2,20-21,11
1994,1610612750,Timberwolves,103.2,13-28,12
1994,1610612765,Pistons,105.5,22-19,12
1994,1610612746,Clippers,105.8,13-28,13
1994,1610612755,76ers,100.4,14-27,13
1994,1610612764,Bullets,106.1,13-28,14
1995,1610612760,SuperSonics,96.7,38-3,1
1995,1610612741,Bulls,92.9,39-2,1
1995,1610612753,Magic,99.0,37-4,2
1995,1610612759,Spurs,97.1,33-8,2
1995,1610612754,Pacers,96.1,32-9,3
1995,1610612762,Jazz,95.9,34-7,3
1995,1610612739,Cavaliers,88.5,26-15,4
1995,1610612747,Lakers,98.5,30-11,4
1995,1610612752,Knicks,94.9,26-15,4
1995,1610612745,Rockets,100.7,27-14,5
1995,1610612757,Trail Blazers,97.0,26-15,6
1995,1610612737,Hawks,97.1,26-15,6
1995,1610612765,Pistons,92.9,30-11,6
1995,1610612756,Suns,104.0,25-16,7
1995,1610612748,Heat,95.0,26-15,8
1995,1610612758,Kings,102.3,26-15,8
1995,1610612744,Warriors,103.1,23-18,9
1995,1610612766,Hornets,103.4,25-16,9
1995,1610612743,Nuggets,100.4,24-17,10
1995,1610612764,Bullets,101.5,25-16,10
1995,1610612746,Clippers,103.0,19-22,11
1995,1610612738,Celtics,107.0,18-23,11
1995,1610612742,Mavericks,107.5,16-25,12
1995,1610612750,Timberwolves,103.2,17-24,12
1995,1610612751,Nets,97.9,20-21,12
1995,1610612749,Bucks,100.9,14-27,13
1995,1610612761,Raptors,105.0,15-26,14
1995,1610612763,Grizzlies,99.8,10-31,14
1995,1610612755,76ers,104.5,11-30,15
1996,1610612741,Bulls,92.3,39-2,1
1996,1610612762,Jazz,94.3,38-3,1
1996,1610612745,Rockets,96.1,30-11,2
1996,1610612748,Heat,89.3,29-12,2
1996,1610612760,SuperSonics,93.2,31-10,2
1996,1610612752,Knicks,92.2,31-10,3
1996,1610612737,Hawks,89.4,36-5,4
1996,1610612747,Lakers,95.7,31-10,4
1996,1610612757,Trail Blazers,94.8,29-12,5
1996,1610612765,Pistons,88.9,30-11,5
1996,1610612766,Hornets,97.0,30-11,5
1996,1610612750,Timberwolves,97.6,25-16,6
1996,1610612756,Suns,102.2,25-16,6
1996,1610612753,Magic,94.5,26-15,7
1996,1610612746,Clippers,99.5,21-20,8
1996,1610612764,Bullets,97.7,25-16,8
1996,1610612739,Cavaliers,85.5,25-16,9
1996,1610612758,Kings,99.8,22-19,9
1996,1610612744,Warriors,104.4,18-23,10
1996,1610612754,Pacers,94.4,21-20,10
1996,1610612742,Mavericks,97.0,14-27,11
1996,1610612749,Bucks,97.2,20-21,11
1996,1610612743,Nuggets,104.2,12-29,12
1996,1610612761,Raptors,98.6,18-23,12
1996,1610612751,Nets,101.8,16-25,13
1996,1610612759,Spurs,98.3,12-29,13
1996,1610612755,76ers,106.7,11-30,14
1996,1610612763,Grizzlies,99.4,8-33,14
1996,1610612738,Celtics,107.9,11-30,15
1997,1610612741,Bulls,89.6,37-4,1
1997,1610612762,Jazz,94.4,36-5,1
