TEAM_ID,TEAM_NAME,YEAR,WIN_PCT,FG_PCT,REB,AST_TOV_RAT,PTS,OPP_PPG,HOME_WIN_PCT,PLAYOFF,TOP3_PPG,TOP3_P14,OFF_BENCH_PPG,BENCH_P30
1610612741,Bulls,2007,0.402,0.435,43.0,1.5136986301369864,97.3,100.4,0.4878048780487805,0,16.236804748999873,1,27.158536585365855,0
1610612741,Bulls,2008,0.5,0.457,42.1,1.4551724137931037,102.2,102.5,0.6829268292682927,1,16.123360865582402,1,20.634146341463413,0
1610612741,Bulls,2009,0.5,0.451,44.5,1.4545454545454546,97.5,99.1,0.5853658536585366,1,16.402072402072402,1,23.76829268292683,0
1610612741,Bulls,2010,0.756,0.462,44.2,1.5704225352112675,98.6,91.3,0.8780487804878049,1,19.986614881842474,1,30.29268292682927,1
1610612741,Bulls,2011,0.758,0.452,46.7,1.65,96.3,88.2,0.7878787878787878,1,17.3982128982129,1,35.41463414634146,1
1610612741,Bulls,2012,0.549,0.437,43.2,1.6083916083916083,93.2,92.9,0.5853658536585366,1,15.268694727453601,1,31.21951219512195,1
1610612741,Bulls,2013,0.585,0.432,44.1,1.523489932885906,93.7,91.8,0.6585365853658537,1,13.111537227214377,1,27.402439024390244,0
1610612741,Bulls,2014,0.61,0.442,45.7,1.55,100.8,97.8,0.6585365853658537,1,16.729330831769854,1,42.48780487804878,1
1610612741,Bulls,2015,0.512,0.441,46.3,1.640287769784173,101.6,103.1,0.6341463414634146,0,17.910114829890947,1,38.36585365853659,1
1610612741,Bulls,2016,0.5,0.444,46.3,1.661764705882353,102.9,102.4,0.6097560975609756,1,17.506476066709983,1,28.24390243902439,0
1610612741,Bulls,2017,0.329,0.435,44.7,1.6785714285714286,102.9,110.0,0.4146341463414634,0,13.521107529769898,1,46.98780487804878,1
1610612741,Bulls,2018,0.268,0.453,42.9,1.553191489361702,104.9,113.4,0.21951219512195122,0,17.308940808940807,0,34.81707317073171,1
1610612741,Bulls,2019,0.338,0.447,41.9,1.4967741935483871,106.8,109.9,0.4117647058823529,0,17.818461538461538,1,30.682926829268293,1
1610612741,Bulls,2020,0.431,0.476,45.0,1.774834437086093,110.7,111.6,0.4166666666666667,0,18.206977393656114,1,32.3780487804878,1
1610612741,Bulls,2021,0.561,0.48,42.3,1.8671875,111.6,112.0,0.6585365853658537,1,23.305080581232264,1,31.0,1
1610612741,Bulls,2022,0.488,0.49,42.4,1.828358208955224,113.1,111.8,0.5365853658536586,0,22.343679282703672,1,27.195121951219512,0
